age,triangle,sex,region,time,count
11,Lower,Male,d. Avannaata kommunia,2011,0
11,Upper,Male,d. Avannaata kommunia,2011,0
12,Lower,Male,d. Avannaata kommunia,2011,0
12,Upper,Male,d. Avannaata kommunia,2011,0
13,Lower,Male,d. Avannaata kommunia,2011,0
13,Upper,Male,d. Avannaata kommunia,2011,0
14,Lower,Male,d. Avannaata kommunia,2011,0
14,Upper,Male,d. Avannaata kommunia,2011,0
15,Lower,Male,d. Avannaata kommunia,2011,0
15,Upper,Male,d. Avannaata kommunia,2011,0
16,Lower,Male,d. Avannaata kommunia,2011,0
16,Upper,Male,d. Avannaata kommunia,2011,0
17,Lower,Male,d. Avannaata kommunia,2011,0
17,Upper,Male,d. Avannaata kommunia,2011,1
18,Lower,Male,d. Avannaata kommunia,2011,0
18,Upper,Male,d. Avannaata kommunia,2011,1
19,Lower,Male,d. Avannaata kommunia,2011,0
19,Upper,Male,d. Avannaata kommunia,2011,1
20,Lower,Male,d. Avannaata kommunia,2011,0
20,Upper,Male,d. Avannaata kommunia,2011,0
21,Lower,Male,d. Avannaata kommunia,2011,1
21,Upper,Male,d. Avannaata kommunia,2011,0
22,Lower,Male,d. Avannaata kommunia,2011,0
22,Upper,Male,d. Avannaata kommunia,2011,0
23,Lower,Male,d. Avannaata kommunia,2011,0
23,Upper,Male,d. Avannaata kommunia,2011,0
24,Lower,Male,d. Avannaata kommunia,2011,0
24,Upper,Male,d. Avannaata kommunia,2011,0
25,Lower,Male,d. Avannaata kommunia,2011,0
25,Upper,Male,d. Avannaata kommunia,2011,0
26,Lower,Male,d. Avannaata kommunia,2011,0
26,Upper,Male,d. Avannaata kommunia,2011,0
27,Lower,Male,d. Avannaata kommunia,2011,0
27,Upper,Male,d. Avannaata kommunia,2011,0
28,Lower,Male,d. Avannaata kommunia,2011,0
28,Upper,Male,d. Avannaata kommunia,2011,1
29,Lower,Male,d. Avannaata kommunia,2011,0
29,Upper,Male,d. Avannaata kommunia,2011,0
30,Lower,Male,d. Avannaata kommunia,2011,0
30,Upper,Male,d. Avannaata kommunia,2011,0
31,Lower,Male,d. Avannaata kommunia,2011,0
31,Upper,Male,d. Avannaata kommunia,2011,0
