age,triangle,sex,region,time,direction,count
13,Upper,Male,d. Avannaata kommunia,2011,In,5
14,Lower,Male,d. Avannaata kommunia,2011,In,3
14,Upper,Male,d. Avannaata kommunia,2011,In,4
15,Lower,Male,d. Avannaata kommunia,2011,In,2
15,Upper,Male,d. Avannaata kommunia,2011,In,4
16,Lower,Male,d. Avannaata kommunia,2011,In,2
16,Upper,Male,d. Avannaata kommunia,2011,In,0
17,Lower,Male,d. Avannaata kommunia,2011,In,2
17,Upper,Male,d. Avannaata kommunia,2011,In,8
18,Lower,Male,d. Avannaata kommunia,2011,In,5
18,Upper,Male,d. Avannaata kommunia,2011,In,6
19,Lower,Male,d. Avannaata kommunia,2011,In,6
19,Upper,Male,d. Avannaata kommunia,2011,In,4
20,Lower,Male,d. Avannaata kommunia,2011,In,4
20,Upper,Male,d. Avannaata kommunia,2011,In,11
21,Lower,Male,d. Avannaata kommunia,2011,In,2
21,Upper,Male,d. Avannaata kommunia,2011,In,6
22,Lower,Male,d. Avannaata kommunia,2011,In,6
22,Upper,Male,d. Avannaata kommunia,2011,In,5
23,Lower,Male,d. Avannaata kommunia,2011,In,5
23,Upper,Male,d. Avannaata kommunia,2011,In,3
24,Lower,Male,d. Avannaata kommunia,2011,In,1
24,Upper,Male,d. Avannaata kommunia,2011,In,4
25,Lower,Male,d. Avannaata kommunia,2011,In,7
25,Upper,Male,d. Avannaata kommunia,2011,In,5
26,Lower,Male,d. Avannaata kommunia,2011,In,4
26,Upper,Male,d. Avannaata kommunia,2011,In,3
27,Lower,Male,d. Avannaata kommunia,2011,In,6
27,Upper,Male,d. Avannaata kommunia,2011,In,7
28,Lower,Male,d. Avannaata kommunia,2011,In,7
28,Upper,Male,d. Avannaata kommunia,2011,In,3
29,Lower,Male,d. Avannaata kommunia,2011,In,4
29,Upper,Male,d. Avannaata kommunia,2011,In,4
30,Lower,Male,d. Avannaata kommunia,2011,In,9
30,Upper,Male,d. Avannaata kommunia,2011,In,2
31,Lower,Male,d. Avannaata kommunia,2011,In,3
31,Upper,Male,d. Avannaata kommunia,2011,In,3
32,Lower,Male,d. Avannaata kommunia,2011,In,3
32,Upper,Male,d. Avannaata kommunia,2011,In,2
33,Lower,Male,d. Avannaata kommunia,2011,In,3
33,Upper,Male,d. Avannaata kommunia,2011,In,6
34,Lower,Male,d. Avannaata kommunia,2011,In,5
34,Upper,Male,d. Avannaata kommunia,2011,In,2
35,Lower,Male,d. Avannaata kommunia,2011,In,2
35,Upper,Male,d. Avannaata kommunia,2011,In,2
36,Lower,Male,d. Avannaata kommunia,2011,In,3
36,Upper,Male,d. Avannaata kommunia,2011,In,1
37,Lower,Male,d. Avannaata kommunia,2011,In,4
37,Upper,Male,d. Avannaata kommunia,2011,In,6
38,Lower,Male,d. Avannaata kommunia,2011,In,0
38,Upper,Male,d. Avannaata kommunia,2011,In,4
39,Lower,Male,d. Avannaata kommunia,2011,In,3
39,Upper,Male,d. Avannaata kommunia,2011,In,3
40,Lower,Male,d. Avannaata kommunia,2011,In,3
40,Upper,Male,d. Avannaata kommunia,2011,In,2
41,Lower,Male,d. Avannaata kommunia,2011,In,0
41,Upper,Male,d. Avannaata kommunia,2011,In,1
42,Lower,Male,d. Avannaata kommunia,2011,In,2
42,Upper,Male,d. Avannaata kommunia,2011,In,1
43,Lower,Male,d. Avannaata kommunia,2011,In,6
43,Upper,Male,d. Avannaata kommunia,2011,In,6
44,Lower,Male,d. Avannaata kommunia,2011,In,1
44,Upper,Male,d. Avannaata kommunia,2011,In,2
45,Lower,Male,d. Avannaata kommunia,2011,In,4
45,Upper,Male,d. Avannaata kommunia,2011,In,4
46,Lower,Male,d. Avannaata kommunia,2011,In,1
46,Upper,Male,d. Avannaata kommunia,2011,In,3
47,Lower,Male,d. Avannaata kommunia,2011,In,4
47,Upper,Male,d. Avannaata kommunia,2011,In,2
48,Lower,Male,d. Avannaata kommunia,2011,In,2
48,Upper,Male,d. Avannaata kommunia,2011,In,2
49,Lower,Male,d. Avannaata kommunia,2011,In,3
