age,sex,time,count
16,Female,2012,360
17,Female,2012,423
18,Female,2012,454
19,Female,2012,443
20,Female,2012,482
21,Female,2012,449
22,Female,2012,465
23,Female,2012,445
24,Female,2012,460
25,Female,2012,426
26,Female,2012,403
27,Female,2012,425
28,Female,2012,393
29,Female,2012,384
30,Female,2012,400
31,Female,2012,405
32,Female,2012,370
33,Female,2012,346
34,Female,2012,306
35,Female,2012,310
36,Female,2012,300
37,Female,2012,295
38,Female,2012,249
39,Female,2012,266
40,Female,2012,301
41,Female,2012,310
42,Female,2012,321
43,Female,2012,393
44,Female,2012,486
45,Female,2012,477
46,Female,2012,543
47,Female,2012,477
48,Female,2012,534
49,Female,2012,485
50,Female,2012,435
51,Female,2012,481
52,Female,2012,416
53,Female,2012,386
54,Female,2012,366
55,Female,2012,325
56,Female,2012,326
57,Female,2012,295
58,Female,2012,285
59,Female,2012,271
60,Female,2012,223
61,Female,2012,216
62,Female,2012,252
63,Female,2012,159
64,Female,2012,127
65,Female,2012,165
66,Female,2012,154
67,Female,2012,152
68,Female,2012,156
69,Female,2012,146
70,Female,2012,162
71,Female,2012,107
72,Female,2012,129
73,Female,2012,89
74,Female,2012,74
75,Female,2012,94
76,Female,2012,74
77,Female,2012,73
78,Female,2012,68
79,Female,2012,65
80,Female,2012,51
81,Female,2012,46
82,Female,2012,49
83,Female,2012,52
84,Female,2012,25
85,Female,2012,21
86,Female,2012,18
87,Female,2012,19
88,Female,2012,12
89,Female,2012,3
90,Female,2012,5
91,Female,2012,3
92,Female,2012,1
93,Female,2012,4
94,Female,2012,0
95,Female,2012,0
96,Female,2012,1
97,Female,2012,0
98,Female,2012,1
99,Female,2012,0
100+,Female,2012,1
0,Male,2012,376
1,Male,2012,420
2,Male,2012,426
3,Male,2012,463
4,Male,2012,424
5,Male,2012,411
6,Male,2012,373
7,Male,2012,419
8,Male,2012,404
9,Male,2012,423
10,Male,2012,417
11,Male,2012,415
12,Male,2012,411
13,Male,2012,401
14,Male,2012,426
15,Male,2012,476
16,Male,2012,338
17,Male,2012,429
18,Male,2012,435
19,Male,2012,496
20,Male,2012,459
21,Male,2012,475
22,Male,2012,478
23,Male,2012,491
24,Male,2012,459
25,Male,2012,431
26,Male,2012,409
27,Male,2012,465
28,Male,2012,412
29,Male,2012,386
30,Male,2012,431
31,Male,2012,409
32,Male,2012,420
33,Male,2012,358
34,Male,2012,346
35,Male,2012,390
36,Male,2012,345
37,Male,2012,326
38,Male,2012,327
39,Male,2012,345
40,Male,2012,365
41,Male,2012,377
42,Male,2012,409
43,Male,2012,437
44,Male,2012,525
45,Male,2012,595
46,Male,2012,597
47,Male,2012,636
48,Male,2012,592
49,Male,2012,570
50,Male,2012,528
51,Male,2012,524
52,Male,2012,547
53,Male,2012,516
54,Male,2012,492
55,Male,2012,460
56,Male,2012,421
57,Male,2012,408
58,Male,2012,381
59,Male,2012,333
60,Male,2012,332
61,Male,2012,312
62,Male,2012,311
63,Male,2012,215
64,Male,2012,277
65,Male,2012,200
66,Male,2012,245
67,Male,2012,206
68,Male,2012,206
69,Male,2012,170
70,Male,2012,159
71,Male,2012,151
72,Male,2012,141
73,Male,2012,75
74,Male,2012,92
75,Male,2012,77
76,Male,2012,73
77,Male,2012,59
78,Male,2012,56
79,Male,2012,50
80,Male,2012,36
81,Male,2012,28
82,Male,2012,28
83,Male,2012,24
84,Male,2012,20
85,Male,2012,9
86,Male,2012,6
87,Male,2012,6
88,Male,2012,7
89,Male,2012,5
90,Male,2012,1
91,Male,2012,1
92,Male,2012,0
93,Male,2012,1
94,Male,2012,1
95,Male,2012,0
96,Male,2012,0
97,Male,2012,0
98,Male,2012,0
99,Male,2012,0
100+,Male,2012,0
0,Female,2013,366
1,Female,2013,378
2,Female,2013,362
3,Female,2013,398
4,Female,2013,400
5,Female,2013,365
6,Female,2013,375
7,Female,2013,403
8,Female,2013,398
9,Female,2013,395
10,Female,2013,374
11,Female,2013,434
12,Female,2013,401
13,Female,2013,395
14,Female,2013,406
15,Female,2013,395
16,Female,2013,378
17,Female,2013,400
18,Female,2013,436
19,Female,2013,446
20,Female,2013,443
21,Female,2013,469
22,Female,2013,436
23,Female,2013,454
24,Female,2013,444
25,Female,2013,460
26,Female,2013,420
27,Female,2013,409
28,Female,2013,432
29,Female,2013,382
30,Female,2013,391
31,Female,2013,392
32,Female,2013,403
33,Female,2013,367
34,Female,2013,348
35,Female,2013,300
36,Female,2013,302
37,Female,2013,291
38,Female,2013,288
39,Female,2013,254
40,Female,2013,267
41,Female,2013,299
42,Female,2013,304
43,Female,2013,325
44,Female,2013,394
45,Female,2013,481
46,Female,2013,478
47,Female,2013,541
48,Female,2013,471
49,Female,2013,532
50,Female,2013,474
51,Female,2013,433
52,Female,2013,482
53,Female,2013,414
54,Female,2013,380
55,Female,2013,364
56,Female,2013,320
57,Female,2013,328
58,Female,2013,294
59,Female,2013,277
60,Female,2013,270
61,Female,2013,219
62,Female,2013,207
63,Female,2013,247
64,Female,2013,157
65,Female,2013,116
66,Female,2013,161
67,Female,2013,148
68,Female,2013,141
69,Female,2013,146
70,Female,2013,141
71,Female,2013,153
72,Female,2013,104
73,Female,2013,128
74,Female,2013,83
75,Female,2013,70
76,Female,2013,88
77,Female,2013,67
78,Female,2013,67
79,Female,2013,60
80,Female,2013,61
81,Female,2013,50
82,Female,2013,39
83,Female,2013,44
84,Female,2013,46
85,Female,2013,22
86,Female,2013,18
87,Female,2013,14
88,Female,2013,15
89,Female,2013,8
90,Female,2013,3
91,Female,2013,3
92,Female,2013,3
93,Female,2013,0
94,Female,2013,3
95,Female,2013,0
96,Female,2013,0
97,Female,2013,1
98,Female,2013,0
99,Female,2013,1
100+,Female,2013,0
0,Male,2013,437
1,Male,2013,373
2,Male,2013,421
3,Male,2013,423
4,Male,2013,457
5,Male,2013,428
6,Male,2013,411
7,Male,2013,378
8,Male,2013,404
9,Male,2013,404
10,Male,2013,420
11,Male,2013,417
12,Male,2013,416
13,Male,2013,408
14,Male,2013,397
15,Male,2013,412
16,Male,2013,384
17,Male,2013,384
18,Male,2013,431
19,Male,2013,436
20,Male,2013,497
21,Male,2013,446
22,Male,2013,476
23,Male,2013,469
24,Male,2013,475
25,Male,2013,453
26,Male,2013,429
27,Male,2013,410
28,Male,2013,456
29,Male,2013,417
30,Male,2013,384
31,Male,2013,428
32,Male,2013,410
33,Male,2013,414
34,Male,2013,349
35,Male,2013,355
36,Male,2013,377
37,Male,2013,340
38,Male,2013,321
39,Male,2013,324
40,Male,2013,338
41,Male,2013,360
42,Male,2013,373
43,Male,2013,402
44,Male,2013,441
45,Male,2013,522
46,Male,2013,589
47,Male,2013,578
48,Male,2013,629
49,Male,2013,594
50,Male,2013,560
51,Male,2013,526
52,Male,2013,516
53,Male,2013,542
54,Male,2013,506
55,Male,2013,478
56,Male,2013,443
57,Male,2013,407
58,Male,2013,397
59,Male,2013,362
60,Male,2013,321
61,Male,2013,323
62,Male,2013,299
63,Male,2013,306
64,Male,2013,209
65,Male,2013,256
66,Male,2013,188
67,Male,2013,230
68,Male,2013,196
69,Male,2013,201
70,Male,2013,155
71,Male,2013,151
72,Male,2013,146
73,Male,2013,129
74,Male,2013,71
75,Male,2013,83
76,Male,2013,73
77,Male,2013,63
78,Male,2013,51
79,Male,2013,52
80,Male,2013,40
81,Male,2013,33
82,Male,2013,26
83,Male,2013,25
84,Male,2013,20
85,Male,2013,17
86,Male,2013,8
87,Male,2013,6
88,Male,2013,5
89,Male,2013,6
90,Male,2013,4
91,Male,2013,0
92,Male,2013,1
93,Male,2013,0
94,Male,2013,1
95,Male,2013,1
96,Male,2013,0
97,Male,2013,0
98,Male,2013,0
99,Male,2013,0
100+,Male,2013,0
0,Female,2014,396
1,Female,2014,351
2,Female,2014,372
3,Female,2014,355
4,Female,2014,398
5,Female,2014,389
6,Female,2014,359
7,Female,2014,373
8,Female,2014,399
9,Female,2014,393
10,Female,2014,391
11,Female,2014,370
12,Female,2014,424
13,Female,2014,402
14,Female,2014,390
15,Female,2014,395
16,Female,2014,320
17,Female,2014,440
18,Female,2014,415
19,Female,2014,428
20,Female,2014,439
21,Female,2014,420
22,Female,2014,463
23,Female,2014,426
24,Female,2014,449
25,Female,2014,455
26,Female,2014,465
27,Female,2014,419
28,Female,2014,413
29,Female,2014,422
30,Female,2014,387
31,Female,2014,397
32,Female,2014,399
33,Female,2014,392
34,Female,2014,360
35,Female,2014,347
36,Female,2014,287
37,Female,2014,289
38,Female,2014,279
39,Female,2014,280
40,Female,2014,245
41,Female,2014,266
42,Female,2014,297
43,Female,2014,304
44,Female,2014,317
45,Female,2014,396
46,Female,2014,475
47,Female,2014,467
48,Female,2014,538
49,Female,2014,458
50,Female,2014,529
51,Female,2014,466
52,Female,2014,425
53,Female,2014,479
54,Female,2014,395
55,Female,2014,371
56,Female,2014,354
57,Female,2014,316
58,Female,2014,319
59,Female,2014,289
60,Female,2014,267
61,Female,2014,265
62,Female,2014,210
63,Female,2014,200
64,Female,2014,241
65,Female,2014,145
66,Female,2014,107
67,Female,2014,152
68,Female,2014,144
69,Female,2014,138
70,Female,2014,138
71,Female,2014,133
72,Female,2014,146
73,Female,2014,97
74,Female,2014,123
75,Female,2014,74
76,Female,2014,66
77,Female,2014,82
78,Female,2014,62
79,Female,2014,61
80,Female,2014,52
81,Female,2014,51
82,Female,2014,45
83,Female,2014,35
84,Female,2014,36
85,Female,2014,35
86,Female,2014,21
87,Female,2014,12
88,Female,2014,9
89,Female,2014,11
90,Female,2014,5
91,Female,2014,3
92,Female,2014,2
93,Female,2014,2
94,Female,2014,0
95,Female,2014,3
96,Female,2014,0
97,Female,2014,0
98,Female,2014,1
99,Female,2014,0
100+,Female,2014,0
0,Male,2014,403
1,Male,2014,430
2,Male,2014,370
3,Male,2014,409
4,Male,2014,414
5,Male,2014,445
6,Male,2014,418
7,Male,2014,409
8,Male,2014,371
9,Male,2014,402
10,Male,2014,397
11,Male,2014,412
12,Male,2014,420
13,Male,2014,415
14,Male,2014,405
15,Male,2014,381
16,Male,2014,315
17,Male,2014,440
18,Male,2014,397
19,Male,2014,433
20,Male,2014,434
21,Male,2014,496
22,Male,2014,447
23,Male,2014,458
24,Male,2014,465
25,Male,2014,462
26,Male,2014,463
27,Male,2014,429
28,Male,2014,413
29,Male,2014,445
30,Male,2014,410
31,Male,2014,386
32,Male,2014,426
33,Male,2014,412
34,Male,2014,411
35,Male,2014,344
36,Male,2014,343
37,Male,2014,372
38,Male,2014,337
39,Male,2014,319
40,Male,2014,333
41,Male,2014,333
42,Male,2014,352
43,Male,2014,356
44,Male,2014,400
45,Male,2014,431
46,Male,2014,515
47,Male,2014,577
48,Male,2014,574
49,Male,2014,616
50,Male,2014,580
51,Male,2014,553
52,Male,2014,517
53,Male,2014,507
54,Male,2014,532
55,Male,2014,493
56,Male,2014,470
57,Male,2014,431
58,Male,2014,395
59,Male,2014,386
60,Male,2014,362
61,Male,2014,310
62,Male,2014,309
63,Male,2014,293
64,Male,2014,292
65,Male,2014,197
66,Male,2014,240
67,Male,2014,183
68,Male,2014,217
69,Male,2014,188
70,Male,2014,182
71,Male,2014,143
72,Male,2014,143
73,Male,2014,138
74,Male,2014,121
75,Male,2014,67
76,Male,2014,79
77,Male,2014,70
78,Male,2014,55
79,Male,2014,39
80,Male,2014,48
81,Male,2014,34
82,Male,2014,29
83,Male,2014,22
